[2024-05-13 14:19:47.252]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:19:47.264]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:19:47.289]	 Installing "tmux-cpu"
[2024-05-13 14:19:48.208]	   "tmux-cpu" download success
[2024-05-13 14:19:48.219]	 Done.

[2024-05-13 14:19:56.618]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:19:56.628]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:19:56.650]	 Already installed "tmux-cpu"
[2024-05-13 14:19:56.662]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:19:56.824]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:19:56.838]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:19:56.861]	 Already installed "tmux-cpu"
[2024-05-13 14:19:56.874]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:19:56.673]	 Updating all plugins!
[2024-05-13 14:19:56.673]	 
[2024-05-13 14:19:57.378]	   "tmux-cpu" update success
[2024-05-13 14:19:57.384]	     | Already up to date.
[2024-05-13 14:19:57.426]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 14:19:57.470]	 Done.

[2024-05-13 14:19:56.887]	 Updating all plugins!
[2024-05-13 14:19:56.887]	 
[2024-05-13 14:19:57.655]	   "tmux-cpu" update success
[2024-05-13 14:19:57.656]	     | Already up to date.
[2024-05-13 14:19:57.667]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 14:19:57.685]	 Removing "tmux-cpu"
[2024-05-13 14:19:57.687]	   "tmux-cpu" clean success
[2024-05-13 14:19:57.698]	 Done.

[2024-05-13 14:24:08.420]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:24:08.430]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:24:08.451]	 Installing "tmux-cpu"
[2024-05-13 14:24:09.369]	   "tmux-cpu" download success
[2024-05-13 14:24:09.383]	 Done.

[2024-05-13 14:24:53.764]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:24:53.780]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:24:53.802]	 Already installed "tmux-cpu"
[2024-05-13 14:24:53.813]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:24:53.823]	 Updating all plugins!
[2024-05-13 14:24:53.823]	 
[2024-05-13 14:24:54.590]	   "tmux-cpu" update success
[2024-05-13 14:24:54.595]	     | Already up to date.
[2024-05-13 14:24:54.612]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 14:24:54.644]	 Done.

[2024-05-13 14:25:34.755]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:25:34.769]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:25:34.797]	 Already installed "tmux-cpu"
[2024-05-13 14:25:34.811]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:25:34.825]	 Updating all plugins!
[2024-05-13 14:25:34.825]	 
[2024-05-13 14:25:35.754]	   "tmux-cpu" update success
[2024-05-13 14:25:35.761]	     | Already up to date.
[2024-05-13 14:25:35.804]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 14:25:35.847]	 Done.

[2024-05-13 14:26:42.960]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:26:42.971]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:26:42.995]	 Already installed "tmux-cpu"
[2024-05-13 14:26:43.011]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:26:43.025]	 Updating all plugins!
[2024-05-13 14:26:43.025]	 
[2024-05-13 14:26:43.673]	   "tmux-cpu" update success
[2024-05-13 14:26:43.674]	     | Already up to date.
[2024-05-13 14:26:43.685]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 14:26:43.716]	 Done.

[2024-05-13 14:27:12.329]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 14:27:12.346]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 14:27:12.368]	 Already installed "tmux-cpu"
[2024-05-13 14:27:12.378]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 14:27:12.388]	 Updating all plugins!
[2024-05-13 14:27:12.388]	 
[2024-05-13 14:27:13.106]	   "tmux-cpu" update success
[2024-05-13 14:27:13.107]	     | Already up to date.
